"lakeday","jday_cum","date","lake_id","jday","year","max.depth","pH","cond","o.cline","depth_w_o","depth_no_o","o_surf","o_mean","t.max","t.min","t.surf","t.cline","t.ocline","chl.surf","pc.surf","chl.tot","pc.tot","chl.oo","pc.oo","chl.mean","pc.mean","chl.int.unf","pc.int.unf","chl.int.30","pc.int.30","dpa.ncount","dpa.ninfect","dpa.nhealthy","dpa.lprev","dpa.lprev.se","dpa.nhealthymoms","dpa.nlmoms","dpa.healthy.eggs","dpa.l.eggs","dam.ncount","dam.ninfect","dam.nhealthy","dam.lprev","dam.lprev.se","dam.nhealthymoms","dam.nlmoms","dam.healthy.eggs","dam.l.eggs","dla.ncount","dla.ninfect","dla.nhealthy","dla.lprev","dla.lprev.se","dla.nhealthymoms","dla.nlmoms","dla.healthy.eggs","dla.l.eggs","sim.ncount","sim.ninfect","sim.nhealthy","sim.lprev","sim.lprev.se","sim.nhealthymoms","sim.nlmoms","sim.healthy.eggs","sim.l.eggs","dia.ncount","dia.ninfect","dia.nhealthy","dia.lprev","dia.lprev.se","cer.ncount","cer.ninfect","cer.nhealthy","cer.lprev","cer.lprev.se","bos.ncount","bos.ninfect","bos.nhealthy","bos.lprev","bos.lprev.se","light.0.5","light.1.0","light.1.5","light.2.0","light.mean","light.sd","light.cv","surf.correct","alo.dens","bos.dens","cal.dens","cer.dens","cha.dens","cyc.dens","dam.dens","dia.dens","dla.dens","dpa.dens","fairy.dens","hol.dens","mite.dens","ost.densr","sca.dens","sim.dens","invsimp","shannon"
"Bear Creek_463",463,"4/8/2022","Bear Creek",98,2022,7.911,8.2997619047619,44.3071428571429,NA,7.911,0,10.29375,9.69738095238095,15.9444444444444,11.0555555555556,15.8819444444444,6.46281818181818,NA,0.60875,0.43625,9.16306,1.69082,9.16306,1.69082,1.21421052631579,0.292631578947368,NA,NA,NA,NA,310,0,310,0,0,78,0,1.5,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bear Creek_482",482,"4/27/2022","Bear Creek",117,2022,8.448,7.95275,47.8575,NA,8.448,0,10.3433333333333,8.18375,21.1666666666667,12.2222222222222,21.1203703703704,2.12323232323232,NA,0.463333333333333,0,7.538175,0.748875,7.538175,0.748875,0.909473684210526,0.0789473684210526,1.31,0.28,NA,NA,316,0,316,0,0,104,0,1.89423076923077,NA,47,0,47,0,0,28,0,2.71428571428571,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1.23022860216127,1.0490139859358,0.974615476755194,1.10118980057186,1.08876196635603,0.107667053371383,0.0988894328589866,1.07707477403451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bear Creek_510",510,"5/25/2022","Bear Creek",145,2022,10.426,7.77645833333333,53.5270833333333,5.87151515151515,5.87151515151515,4.55448484848485,8.70333333333333,4.48625,25.7222222222222,10.7777777777778,25.6111111111111,2.93575757575758,14.877676965291,1.39903181189488,0.89030847145488,11.7850761707173,4.89069337016574,9.24269946650859,3.03266850828729,1.19391252802763,0.546435863559933,1.60225251926497,0.639848066298343,NA,NA,45,0,45,0,0,24,0,1.83333333333333,NA,95,0,95,0,0,31,0,1.2258064516129,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1.16881876937183,0.958820068185064,0.895207663903129,0.693725588767753,0.929143022556944,0.19570229716531,0.210626666093611,0.904783843968364,0,51661.448322246,1435.0402311735,717.520115586751,0,113009.418204913,5022.64080910725,1076.28017338013,0,0,0,0,0,0,0,0,1.93303712578836,0.835982928642837
"Bear Creek_536",536,"6/20/2022","Bear Creek",171,2022,10.611,8.07333333333333,57.5571428571429,5.25190909090909,5.25190909090909,5.35909090909091,8.78666666666667,4.49904761904762,29.4433333333333,11.2361111111111,29.4307407407407,2.67954545454545,19.0633469341763,0.393005334914049,0.0978360957642727,10.1697940130409,15.7818349447514,5.82345228215767,7.2636726519337,1.01072910491998,1.55265883977901,0.604623592175459,2.21500920810313,NA,NA,1,0,1,0,0,1,0,2,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,161,0,161,0,0,0.414777682797203,0.615152497504533,0.881029412736275,0.730727156029652,0.660421687266916,0.196639182216542,0.297747917743756,0.853457738748628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bear Creek_561",561,"7/15/2022","Bear Creek",196,2022,10.396,7.96761904761905,62.0666666666667,5.25050505050505,5.25050505050505,5.14549494949495,8.36666666666667,3.97714285714286,29.6927777777778,11.4161111111111,29.6438888888889,2.94028282828283,21.9808999726993,0.266666666666667,0.0466666666666667,6.881505,2.982165,3.18082,0.599385,0.6875,0.2985,0.48,0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bear Creek_586",586,"8/9/2022","Bear Creek",221,2022,9.946,9.16090909090909,67.3681818181818,5.32462626262626,5.32462626262626,4.62137373737374,8.60666666666667,4.24136363636364,30.0916666666667,11.8027777777778,30.077962962963,3.21486868686869,24.2345359419222,0.87,0.16,11.810125,3.235665,7.6097,1.41163,1.18666666666667,0.325238095238095,1.076,0.374,0.748,0.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bear Creek_615",615,"9/7/2022","Bear Creek",250,2022,10.278,9.44136363636364,67.7772727272727,5.19090909090909,5.19090909090909,5.08709090909091,8.68666666666667,3.82954545454545,28.1555555555556,11.5294444444444,28.1453703703704,4.04890909090909,25.1966387631326,1.74333333333333,0.326666666666667,12.832835,6.14485999999999,8.876775,2.162135,1.26714285714286,0.620952380952381,0.974,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bear Creek_643",643,"10/5/2022","Bear Creek",278,2022,9.932,7.23136363636364,69.5272727272727,7.92553535353535,7.92553535353535,2.00646464646465,8.36,5.74727272727273,21.4933333333333,12.3716666666667,21.4820833333333,6.11971717171717,16.0841737911802,0.8275,0.265,7.54381,2.890395,6.67335,2.302925,0.779047619047619,0.302380952380952,0.374,0.208,0.376666666666667,0.298333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14041144992274,0.475025235452088,1.17745450254404,1.34410860432439,1.03424994806081,0.383198153682094,0.370508264854718,1.37295169946333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bear Creek_686",686,"11/17/2022","Bear Creek",321,2022,9.899,5.81130434782609,63.4173913043478,7.92553535353535,7.92553535353535,1.97346464646465,7.14333333333333,7.23478260869565,14.6616666666667,14.4244444444444,14.6594444444444,6.46281818181818,NA,0.236666666666667,0.216666666666667,5.079785,3.4477,5.079785,3.4477,0.519090909090909,0.349545454545455,0.638,0.568,0.6,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07122404854897,1.9341978212563,1.96972216398244,1.83389464455134,1.95225966958476,0.0979693348096402,0.0501825327521507,1.07297009580954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Sister_92",92,"4/2/2021","Big Sister",92,2021,3.269,6.87125,42.75,NA,3.269,0,7.395,6.6975,17,15.7222222222222,16.6944444444444,NA,NA,0.1,0.422108843537415,0.253425,0.944084013605443,0.253425,0.944084013605443,0.108333333333333,0.424036281179139,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,290,4,286,0.0137931034482759,0.0068488241491517,0,0,NA,NA,1,0,1,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,44,0,44,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,20808.0833520158,19373.0431208423,0,0,20090.563236429,214897.274618232,0,0,0,0,0,0,717.520115586751,0,0,1.60599476944552,0.782381495726312
