Sample ID,Daphnia Sp.,Lake,Year,Date,Avg. Count,Spores,DNA Ext Date,MICGEN PCR,BERW PCR,MIC1 PCR,MIC2 PCR,MIC3 PCR,MICGEN SEQ (ident %),BERW SEQ,MIC1 SEQ,MIC2 SEQ,MIC3 SEQ,
1,La,Cat,2021,4/14/2021,99.5,248750,DONE,BAND,,,,,,,,,,
2,La,Cat,2021,4/14/2021,280,700000,DONE,BAND,,,,,MIC1 (99.04%),,,,,
3,La,Cat,2021,4/14/2021,139.3,348333,DONE,BAND,,,,,MIC1 (99.28%),,,,,
4,La,Cat,2021,4/14/2021,101.3,253333,DONE,BAND,,,,,,,,,,
5,La,Cat,2021,4/21/2021,39,97500,DONE,BAND,,,,,,,,,,
6,La,Cat,2021,4/21/2021,409,1022500,DONE,BAND,,,,,MIC1 (99.04%),,,,,
7,La,Cat,2021,4/21/2021,303,757967,DONE,BAND,,,,,,,,,,
8,La,Cat,2021,4/21/2021,134.3,335833,DONE,BAND,,,,,MIC1 (99.04%),,,,,
9,La,Cat,2021,4/28/2021,180.3,450833,DONE,BAND,,,,,,,,,,
10,La,Cat,2021,4/28/2021,150,375000,,,,,,,,,,,,
11,La,Cat,2021,4/28/2021,128.3,320833,,,,,,,,,,,,
13,La,Cat,2021,4/28/2021,218.8,547083,DONE,BAND,,,,,MIC1 (99.04%),,,,,
12,La,Cat,2021,4/28/2021,518.6,1295417,,,,,,,,,,,,
14,La,Cat,2021,6/23/2021,240.8,602083,DONE,BAND,,,,,Conglomerata or Berwaldia (99.52%),,,*note: MICG B & C Seqs Identical??,,
15,La,NN3,2021,6/23/2021,69.5,173750,DONE,BAND,,,,,,,,,,
16,La,Sis1,2021,6/23/2021,176.8,442083,DONE,BAND,,,,,Conglomerata or Berwaldia (99.52%),,,,,
17,La,Deer,2021,4/15/2021,26,65000,8/10/2021,BAND,no band,BAND,no band,no band,MIC1 (99.25%),not submitted,MIC1 (99.38%),not submitted,not submitted,
18,La,Deer,2021,4/21/2021,10.6,26666,,,,,,,,,,,,
19,La,Deer,2021,4/21/2021,56.2,140416,,,,,,,,,,,,
20,La,Deer,2021,4/21/2021,10,25000,DONE,BAND,,,,,,,,,,
21,La,Deer,2021,4/21/2021,31.5,78750,,,,,,,,,,,,
22,La,Deer,2021,4/28/2021,55.8,139583,DONE,BAND,,,,,MIC1 (99.04%),,,,,
23,La,Deer,2021,4/28/2021,16.3,40833,DONE,BAND,,,,,,,,,,
24,La,Deer,2021,4/28/2021,98.5,246250,DONE,BAND,,,,,,,,,,
25,La,Deer,2021,5/6/2021,414.2,1035417,DONE,BAND,,,,,Conglomerata or Berwaldia (99.46%),,,,,
26,La,Deer,2021,4/28/2021,93.2,232917,DONE,BAND,,,,,,,,,,
27,La,Deer,2021,4/28/2021,89.2,222917,DONE,BAND,,,,,re-seq F,,,,,
28,La,Deer,2021,5/6/2021,311,777500,DONE,BAND,,,,,,,,,,
