Key,Species,Lake,Date,Avg. Count,Spores,Notes
1,La,Cat,14-Apr,99.50,248750.00,
2,La,Cat,14-Apr,280.00,700000.00,
3,La,Cat,14-Apr,139.30,348333.00,
4,La,Cat,14-Apr,101.30,253333.00,
5,La,Cat,21-Apr,39.00,97500.00,
6,La,Cat,21-Apr,409.00,1022500.00,
7,La,Cat,21-Apr,303.00,757967.00,
8,La,Cat,21-Apr,134.30,335833.00,
9,La,Cat,28-Apr,180.30,450833.00,
10,La,Cat,28-Apr,150.00,375000.00,
11,La,Cat,28-Apr,128.30,320833.00,
13,La,Cat,28-Apr,218.80,547083.00,
12,La,Cat,28-Apr,518.60,1295417.00,
14,La,Cat,23-Jun,240.80,602083.00,
15,La,NN3,23-Jun,69.50,173750.00,
16,La,Sis1,23-Jun,176.80,442083.00,
17,La,Deer,15-Apr,26.00,65000.00,
18,La,Deer,21-Apr,10.60,26666.00,
19,La ,Deer,21-Apr,56.20,140416.00,
20,La,Deer,21-Apr,10.00,25000.00,
21,La,Deer,21-Apr,31.50,78750.00,
22,La,Deer,28-Apr,55.80,139583.00,
23,La,Deer,28-Apr,16.30,40833.00,
24,La,Deer,28-Apr,98.50,246250.00,
25,La,Deer,6-May,414.20,1035417.00,
26,La,Deer,28-Apr,93.20,232917.00,
27,La,Deer,28-Apr,89.20,222917.00,
28,La,Deer,6-May,311.00,777500.00,
29,La,Deer,6-May,500.30,1250833.00,
30,La,Deer,6-May,178.30,445833.00,
31,La,Deer,6-May,657.30,1673333.00,
32,Dia,Dean,23-Jun,148.50,371250.00,
34,Pa,Deer,28-Apr,4.30,10833.00,
35,Pa,Deer,28-Apr,3.00,7500.00,
36,Pa,Deer,28-Apr,9.70,24167.00,
37,Pa,Deer,28-Apr,1.20,2917.00,
38,Pa,Deer,6-May,11.60,29167.00,
39,Pa,Deer,6-May,6.00,15000.00,
40,Pa,Dean,14-Apr,7.80,19583.00,
41,Pa,Dean,14-Apr,13.60,34167.00,
42,Pa,Dean,14-Apr,6.30,15833.00,
43,Pa,Dean,14-Apr,12.80,32083.00,
44,Pa,Dean,14-Apr,9.00,22500.00,
45,Pa,Dean,21-Apr,13.20,32917.00,
46,Pa,Dean,21-Apr,61.20,152917.00,
47,Pa,Dean,21-Apr,8.70,21667.00,
48,Pa,Dean,21-Apr,38.60,96667.00,
49,Pa,Dean,21-Apr,53.50,133750.00,
50,Am,Dean,14-Apr,28.20,70417.00,
51,Am,Dean,14-Apr,21.00,52500.00,
52,Am,Dean,21-Apr,6.70,16667.00,
53,Am,Dean,21-Apr,17.20,42917.00,
54,Am,Dean,21-Apr,1.80,4583.00,
55,Am,Dean,21-Apr,3.80,9583.00,
56,Am,Dean,21-Apr,5.30,13333.00,
57,Am,Dean,28-Apr,20.50,51250.00,
58,Am,Dean,28-Apr,2.70,6667.00,
59,Am,Dean,28-Apr,5.80,14583.00,
60,Am,Dean,28-Apr,4.50,11250.00,
61,Am,Dean,23-Jun,44.00,110000.00,
62,Am,Dean,23-Jun,50.70,126667.00,
63,Am,VIP,9-Apr,21.20,52917.00,
64,Am,VIP,9-Apr,28.50,71250.00,
65,Simo,NN3,13-Jul,2.30,5833.00,
66,Am,VIP,9-Apr,32.00,80000.00,
67,Am,VIP,9-Apr,8.00,20000.00,
68,Am,VIP,9-Apr,30.80,77083.00,
69,Am,VIP,16-Apr,8.80,22083.00,
70,Am,VIP,16-Apr,3.50,8750.00,
71,Am,VIP,16-Apr,7.50,18750.00,
72,Am,VIP,16-Apr,12.20,30416.00,
73,Am,VIP,16-Apr,4.20,10416.00,
74,Am,VIP,21-Apr,0.70,1666.00,
75,Am,VIP,21-Apr,5.30,13333.00,
76,Am,VIP,21-Apr,1.50,3750.00,
77,Am,VIP,21-Apr,4.80,12083.00,
78,Am,VIP,28-Apr,3.30,8333.00,
79,Am,VIP,21-Apr,3.50,8750.00,
80,Am,VIP,28-Apr,4.70,11667.00,
81,Am,BS,14-Apr,54.80,137083.00,
82,Am,BS,14-Apr,22.30,55833.00,
83,Am,BS,14-Apr,49.00,122500.00,
84,Am,BS,14-Apr,2.20,5417.00,
85,Am,BS,14-Apr,27.50,68750.00,
86,Am,BS,21-Apr,30.20,75417.00,
87,Am,BS,21-Apr,12.20,30417.00,
88,Am,BS,21-Apr,9.00,22500.00,
89,Am,BS,21-Apr,8.30,20833.00,
90,Am,BS,21-Apr,1.20,2917.00,
91,Am,BS,23-Jun,53.20,132917.00,
92,Am,BS,23-Jun,11.50,28750.00,
93,Am,BS,23-Jun,63.70,159167.00,
94,Am,BS,23-Jun,7.00,17500.00,
95,Am,BS,23-Jun,7.80,19583.00,
96,Am,BS,13-Jul,10.80,27083.00,
97,Dia,Dean,13-Jul,129.30,323333.00,
98,Dia,Dean,13-Jul,76.70,191667.00,
99,Dia,Dean,13-Jul,102.30,255833.00,
100,Dia,Dean,13-Jul,77.20,192917.00,
101,Dia,Dean,13-Jul,75.30,188333.00,
102,Pa,Dean,13-Jul,53.80,134583.00,
103,Am,Dean,13-Jul,12.50,31250.00,
104,Am,Dean,13-Jul,6.20,15417.00,
105,Simo,NN3,13-Jul,4.20,10417.00,
106,Simo,NN3,13-Jul,5.80,14583.00,
107,Simo,NN3,13-Jul,6.80,17083.00,
108,Simo,NN3,13-Jul,4.80,12083.00,
109,Simo,NN3,13-Jul,17.00,42500.00,
110,La,Sis1,13-Jul,31.50,78750.00,
111,La,Sis1,13-Jul,112.20,280417.00,
112,Am,BS,14-Sep,61.63,154062.50,
113,La,Cat,4-Aug,59.13,147812.50,
114,La,NN1,4-Aug,57.13,142812.50,
115,Am,BS,4-Aug,92.38,230937.50,
116,Am,BS,4-Aug,65.00,162500.00,
117,La,Sis1,4-Aug,21.13,52812.50,
118,La,Sis1,4-Aug,69.50,173750.00,
119,La,Sis1,4-Aug,58.50,146250.00,
120,La,Sis1,26-Aug,49.63,124062.50,
121,Am,BS,26-Aug,67.50,168750.00,
122,La,Sis1,26-Aug,55.63,139062.50,
123,La,Sis1,26-Aug,56.75,141875.00,
124,La,Sis1,26-Aug,88.38,220937.50,
125,La,Sis1,26-Aug,75.75,189375.00,
126,Am,BS,26-Aug,74.75,186875.00,
127,Am,BS,26-Aug,37.00,92500.00,
128,Am,BS,26-Aug,67.25,168125.00,
129,Am,BS,26-Aug,67.88,169687.50,
130,Am,BS,26-Aug,70.13,175312.50,
131,Am,Dean,14-Sep,25.63,64062.50,
132,Pa,Dean,14-Sep,40.88,102187.50,
133,Am,BS,14-Sep,91.25,228125.00,
134,Am,BS,14-Sep,80.00,200000.00,
135,Am,BS,14-Sep,54.38,135937.50,
136,Dia,Deer,14-Sep,21.38,53437.50,
137,Dia,Deer,14-Sep,25.13,62812.50,
138,Dia,Deer,14-Sep,25.00,62500.00,
139,Dia,Deer,14-Sep,29.13,72812.50,
140,Dia,Deer,14-Sep,34.75,86875.00,
141,Cerio,VIP,13-Oct,15.38,38437.50,
142,Cerio,VIP,13-Oct,36.50,91250.00,
143,Am,BS,13-Oct,86.38,215937.50,
144,Cerio,VIP,13-Oct,16.88,42187.50,
145,Cerio,BS,13-Oct,12.75,31875.00,
146,Cerio,Dean,13-Oct,19.13,47812.50,
147,Pa,Dean,13-Oct,32.75,81875.00,
148,Am,Dean,13-Oct,32.00,80000.00,
149,Am,Dean,13-Oct,34.25,85625.00,
150,Cerio,BS,22-Nov,43.38,108437.50,
151,Pa,Deer,22-Nov,108.00,270000.00,
152,Simo,BS,22-Nov,38.00,95000.00,
153,Am,Deans,14-Dec,65.25,163125.00,
154,Dia,VIP,14-Dec,70.25,175625.00,
155,Simo,Cat,22-Nov,59.50,148750.00,
156,Cerio,Dean,22-Nov,43.50,108750.00,
157,Dia,VIP,14-Dec,49.75,124375.00,
158,Dia,Dean,22-Nov,172.38,430937.50,
159,Am,BS,22-Nov,25.63,64062.50,
160,Am,BS,22-Nov,39.13,97812.50,
161,Am,BS,22-Nov,67.63,169062.50,
162,Dia,VIP,22-Nov,19.63,49062.50,
163,Dia,VIP,22-Nov,21.75,54375.00,
164,Dia,BS,14-Dec,275.38,688437.50,
165,Am,BS,12-Dec,142.50,356250.00,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
