Key,Species,Parasite,Lake,Date,Avg. Count,Spores,Notes
166,Lav,,Cat,5-Jan,89.375,223437.5,unsure of species
167,Am,,Deer,5-Jan,74.75,186875,
168,Am,,Deer,5-Jan,57.125,142812.5,
169,Am,,Deer,5-Jan,65.125,162812.5,
170,Am,,Deer,5-Jan,208.25,520625,
171,Am,,Deer,5-Jan,281.625,704062.5,
172,Am,,Deer,27-Jan,327.375,818437.5,
173,Am,,Deer,27-Jan,68.5,171250,
174,Am,,Deer,27-Jan,124.75,311875,
175,Am,,Deer,27-Jan,304.125,760312.5,
176,Am,,Deer,27-Jan,59,147500,
177,Am,,Deer,27-Jan,42.5,106250,
178,Am,,Deer,27-Jan,71,177500,
179,Am,,Deer,27-Jan,56.375,140937.5,
180,Am,,Deer,18-Feb,126.125,315312.5,
181,Am,,Deer,18-Feb,66.875,167187.5,
182,Am,,VIP,18-Feb,56.625,141562.5,
183,Am,,VIP,18-Feb,191.875,479687.5,
184,Am,,Deer,18-Feb,30.375,75937.5,
185,Am,,Deer,18-Feb,176.375,440937.5,CB started entering here 12/21/2022
186,Am,,Dean's,18-Feb,78.125,195312.5,
187,Am,,Deer,18-Feb,57,142500,
188,Lav,,Cat,18-Feb,119.25,298125,
189,Lav,,Cat,18-Feb,92.75,231875,
190,Lav,,Cat,18-Feb,112,280000,
191,Lav,,Cat,18-Feb,84,210000,
192,Lav,,Cat,18-Feb,27,67500,
193,Am,,Cat,18-Feb,41.125,102812.5,
194,Lav,,Sister 1,18-Feb,286.5,716250,
195,Am,,BS,2/18/22,NA,NA,missing on data sheet
196,Pa,,Og,27-Apr,183.375,458437.5,
197,Pa,,Mem,20-Jun,15.375,38437.5,
198,Pa,,Chap,25-May,67.25,168125,
199,Am,,Chap,27-Apr,152.75,381875,
200,Pa,,Chap,27-Apr,125.875,314687.5,
201,Bos,,Mem,9/8/22,NA,NA,
202,Am,,Dean's,7-Mar,111.5,278750,
203,Am,,Dean's,7-Mar,65.25,163125,
204,Am,,Deer,7-Mar,39.625,99062.5,
205,Am,,Deer,7-Mar,53.75,134375,
206,Am,,Deer,7-Mar,85.5,213750,
207,Am,,Deer,7-Mar,52,130000,
